ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInDiscards,ifOutUcastPkts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,label
-0.5806433156220295,-0.48341265747586193,0.0,-0.6027671054442059,0.0,-0.5391912244374544,0.42435798961223237,0.46706887826925025,0.10705157527966208,-1.1960999625683568,0.0,-0.3526551292292967,-0.3442236156442802,0.0,0
-0.6076554445187206,-0.559162790381375,0.0,-0.6072479391553499,0.0,-0.5492899106224323,-0.9050772628176548,-0.9238635908026556,-1.022139113895517,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5960320216346757,-0.5227411375016618,0.0,-0.6059813933393657,0.0,-0.5463114500495043,-0.8865620785459943,-0.9044615394872711,-1.0082255609049435,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994095978850668,-0.5285888335987134,0.0,-0.6085201901326673,0.0,-0.5507809882617237,-0.9046833227267683,-0.9234507812002006,-1.022819668117882,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5806262854184111,-0.4833747055795422,0.0,-0.6027577870140283,0.0,-0.5391748621695541,0.4267216301575507,0.4695457358839802,0.10856391799602876,-1.1960999625683568,0.0,-0.3526509952462741,-0.3442236156442802,0.0,0
-0.6076443472466526,-0.5591366030584286,0.0,-0.6072414733058389,0.0,-0.5492788265054677,-0.9050209856618139,-0.9238046180023048,-1.0220634967596987,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5960212790969307,-0.5227319282073448,0.0,-0.6059793014468768,0.0,-0.5463072275287559,-0.8865058013901534,-0.9044025666869204,-1.0081499437691253,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994095978850668,-0.5285844433206032,0.0,-0.6085201901326673,0.0,-0.5507804604466302,-0.9046270455709274,-0.9233918083998499,-1.0227440509820636,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5806087792795761,-0.4833424473251467,0.0,-0.6027478980677172,0.0,-0.5391606111620282,0.4293103793262327,0.472258484700113,0.11007626071239543,-1.1960999625683568,0.0,-0.35264686126325145,-0.3442236156442802,0.0,0
-0.6076329750554844,-0.5591104157354824,0.0,-0.607234627112239,0.0,-0.5492682702035966,-0.9049647085059729,-0.9237456452019541,-1.0219878796238804,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5960175070886305,-0.5227231819501722,0.0,-0.6059762586941658,0.0,-0.5463035328231011,-0.8864495242343126,-0.9043435938865697,-1.008074326633307,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994095978850668,-0.5285750196572379,0.0,-0.6085201901326673,0.0,-0.550779404816443,-0.9045707684150865,-0.9233328355994992,-1.0226684338462453,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5805938538329403,-0.48330976033265444,0.0,-0.6027401010138952,0.0,-0.5391458323394087,0.43122380262482374,0.4742635599120372,0.11151298629294377,-1.1960999625683568,0.0,-0.35264272728022883,-0.3442236156442802,0.0,0
-0.6076246476672544,-0.5590817931801468,0.0,-0.6072300629831723,0.0,-0.5492587695319125,-0.904908431350132,-0.9236866724016035,-1.0219122624880619,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5960141105074889,-0.5227145214406189,0.0,-0.6059735962855436,0.0,-0.5462993103023526,-0.8863932470784717,-0.904284621086219,-1.0079987094974885,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994095978850668,-0.5285706293791276,0.0,-0.6085201901326673,0.0,-0.5507788770013495,-0.9045144912592457,-0.9232738627991485,-1.022592816710427,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5805727116672956,-0.4832720656791928,0.0,-0.602728880863273,0.0,-0.5391299978866021,0.43420649188439214,0.477389118330625,0.11325218041676545,-1.1960999625683568,0.0,-0.35263859329720626,-0.3442236156442802,0.0,0
-0.6076177510407934,-0.5590606821162654,0.0,-0.6072266398863724,0.0,-0.54925243575079,-0.9048521541942911,-0.9236276996012528,-1.0218366453522436,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5960050618261356,-0.5226961200015086,0.0,-0.6059669402639881,0.0,-0.5462908652608557,-0.8863369699226308,-0.9042256482858684,-1.0079230923616702,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
